path	git_blob	observed_notice	disposition
rtl/video/zxula.vhd	af1d61ad617fe6ee576cf46ab3dfe0dbc2cd549b	GPL-3.0-or-later	candidate-import-retain-notice
rtl/video/zxula_timing.vhd	a0329facfa0175e50c708ac6749fc8c8f9bd6993	GPL-3.0-or-later	candidate-import-retain-notice
rtl/zxnext.vhd	615d1fc9b908ba0f7651ae2895db3fcbb4676fc0	GPL-3.0-or-later	candidate-import-retain-notice
sys/alsa.sv	90343893eac82574438c6dbdc0881d2a3d9048fa	GPL-2.0-or-later	exclude-mister-framework
sys/arcade_video.v	f41d0422958ad1ebf97f10934a05129c1bca9bb8	GPL-2.0-or-later	exclude-mister-framework
sys/ascal.vhd	a735e6b40db8b1e7b5ef2c7836a11d521a96eb7c	no-explicit-notice-observed	exclude-mister-framework
sys/audio_out.sv	309b92eefe97e4646ba39e9a1cc2f4792c716249	GPL-2.0-or-later	exclude-mister-framework
sys/build_id.tcl	b43b9d926855ff6b33ad8bab1880f243672c972e	no-explicit-notice-observed	exclude-mister-framework
sys/ddr_svc.sv	ed24d4e8e8b2c7c747df3ed124ff187c5c340e7d	GPL-3.0-or-later	exclude-mister-framework
sys/emu_ports.vh	ad59e00a3ff68fc3702f008e217ba091eb65d862	no-explicit-notice-observed	exclude-mister-framework
sys/f2sdram_safe_terminator.sv	3586365dda0828507bf8a51a9ad688ab53700024	copyright-no-explicit-license	exclude-mister-framework
sys/gamma_corr.sv	321b83f7e1a7e52d6997e59a67eeac8ae4c5d849	no-explicit-notice-observed	exclude-mister-framework
sys/hps_io.sv	1df2e0247aa57b3b8498df6c52ad1b91261f458a	GPL-3.0-or-later	exclude-mister-framework
sys/hq2x.sv	f5fcc712bea537a137f6152bc73afce1f423acb5	GPL-version-unspecified-reference	exclude-mister-framework
sys/i2c.v	6da6a144dcf8ac509cd892fc24c1392f6d9ceebc	no-explicit-notice-observed	exclude-mister-framework
sys/i2s.v	7d4517bac6625a9fa104a862e7327122ebf8c9b4	no-explicit-notice-observed	exclude-mister-framework
sys/iir_filter.v	b8bcf4f008e39a02d77bc9d37436405aa87dd9ea	GPL-2.0-or-later	exclude-mister-framework
sys/ltc2308.sv	4d3ccc1590057222ba6c461bf89443a31672952e	GPL-2.0-or-later	exclude-mister-framework
sys/math.sv	e7c0144b09463d42333530947b2607143ab8d8b9	no-explicit-notice-observed	exclude-mister-framework
sys/mcp23009.sv	82eaf37f140d4fc60c227d3913d0ff5fac5ea43e	no-explicit-notice-observed	exclude-mister-framework
sys/mt32pi.sv	67048074f68e84fcb7d1a1946494cc3f609fa52a	no-explicit-notice-observed	exclude-mister-framework
sys/osd.v	724ab95d879fb2993e26a704248f54429a1dae9f	no-explicit-notice-observed	exclude-mister-framework
sys/pll.13.qip	a6a1dcaac8744322564374b6f03f92a7c521d394	no-explicit-notice-observed	exclude-mister-framework
sys/pll_audio.13.qip	e9879310f3d6ba7cf34eccb4c49ab061cbfbf1ee	no-explicit-notice-observed	exclude-mister-framework
sys/pll_audio.qip	abb013b6b477818cc81bead119edaa3a2b77e310	no-explicit-notice-observed	exclude-mister-framework
sys/pll_audio.v	185a94c28ecbb3d054334c3e6ffab0fb69308352	Intel-Altera-device-restricted	exclude-mister-framework
sys/pll_audio/pll_audio_0002.qip	dadd4b80566d3caaeae55becbd990dc3ce65f8d7	no-explicit-notice-observed	exclude-mister-framework
sys/pll_audio/pll_audio_0002.v	789891438b29868b5bd7aca3d4ed6a662ff6c7f4	no-explicit-notice-observed	exclude-mister-framework
sys/pll_cfg.qip	0b560f9ddf57c738df6feecabb12d15c53a991c7	no-explicit-notice-observed	exclude-mister-framework
sys/pll_cfg/altera_pll_reconfig_core.v	a9e2b8c01788133d1588c5c1b160bf509b6c63b8	Intel-Altera-device-restricted	exclude-mister-framework
sys/pll_cfg/altera_pll_reconfig_top.v	843c9705bede6a3fb6fbe2ef9326a5241dd648d5	Intel-Altera-device-restricted	exclude-mister-framework
sys/pll_cfg/pll_cfg.v	0adc36f26727d8fbda1a080758ce2bc1f017e2fd	Intel-Altera-device-restricted	exclude-mister-framework
sys/pll_cfg/pll_cfg_hdmi.v	1912c2af7e44aa3fb813acabc0fd7dc00a2bb8e7	Intel-Altera-device-restricted	exclude-mister-framework
sys/pll_hdmi.13.qip	76def897abe8746151c912b68adee3174f1d04fc	no-explicit-notice-observed	exclude-mister-framework
sys/pll_hdmi.qip	be34aeb27eeab50edfa0f60d96941d6001d48bd2	no-explicit-notice-observed	exclude-mister-framework
sys/pll_hdmi.v	0cefd2546624c2ae252348963be192c39f7342ee	Intel-Altera-device-restricted	exclude-mister-framework
sys/pll_hdmi/pll_hdmi_0002.qip	3cb7073d8d9c972ae7f002d9017c0029efc202cd	no-explicit-notice-observed	exclude-mister-framework
sys/pll_hdmi/pll_hdmi_0002.v	9347c76021f035efafef82e1ca3381451dd0d4a6	no-explicit-notice-observed	exclude-mister-framework
sys/pll_hdmi_adj.vhd	67287cb3f521e7ab8f3945eb0be4978166146413	no-explicit-notice-observed	exclude-mister-framework
sys/pll_q13.qip	78e7e402c9e980735d4505b76de8e89549b86129	no-explicit-notice-observed	exclude-mister-framework
sys/pll_q17.qip	85cc84b0f4df4735f234c52dd3e799cde1bf3874	no-explicit-notice-observed	exclude-mister-framework
sys/scandoubler.v	81e7c3f4e62d7214186ccffa48856494e6a7005d	GPL-3.0-or-later	exclude-mister-framework
sys/scanlines.v	43f890f148d3a642f403f611792efe8f253b022d	no-explicit-notice-observed	exclude-mister-framework
sys/sd_card.sv	417d8d400d324452bae6e77c6852f2d1c6102c82	GPL-3.0-or-later	exclude-mister-framework
sys/shadowmask.sv	572679c2fcc4bd8193c760751f82fa9b872f2b9b	no-explicit-notice-observed	exclude-mister-framework
sys/sigma_delta_dac.v	d0d6be0877b42623605939845c343f9a4ee97fa9	no-explicit-notice-observed	exclude-mister-framework
sys/spdif.v	eee2b0817641c83bd46c5919150be54f98a4dd8c	copyright-no-explicit-license	exclude-mister-framework
sys/sys.qip	ef2330d91449f392428bfe4057ff0093fe6449a0	no-explicit-notice-observed	exclude-mister-framework
sys/sys.tcl	9f3de3e5a74b246f5a72136e4dcc15108d1eb541	no-explicit-notice-observed	exclude-mister-framework
sys/sys_analog.tcl	692043f8c9de847c7b68c2277579c207bded9d9a	no-explicit-notice-observed	exclude-mister-framework
sys/sys_dual_sdram.tcl	cf90eab8b045ed4deaa26a059cb51e19a5be0026	no-explicit-notice-observed	exclude-mister-framework
sys/sys_top.sdc	c2b4118caccb2fd4629a3ca81a8ec7b71f9ad64f	no-explicit-notice-observed	exclude-mister-framework
sys/sys_top.v	a4168795b68bed4b655b00cb7ced5cf5b4f32741	GPL-2.0-or-later	exclude-mister-framework
sys/sysmem.sv	8c17e868502c1768cff70f48aebe427ba88e0527	no-explicit-notice-observed	exclude-mister-framework
sys/vga_out.sv	41606354e37c98111138446aa13c7870244db89d	no-explicit-notice-observed	exclude-mister-framework
sys/video_cleaner.sv	4c057a834197df0bbf6dfda4ecf94efbaea9eb64	GPL-version-unspecified-reference	exclude-mister-framework
sys/video_freak.sv	65375cd278940c6d6560f6d777d3c0352ab106be	GPL-version-unspecified-reference	exclude-mister-framework
sys/video_freezer.sv	24d2c65139b72d13c3172eb9722f2a63f0f200d9	GPL-2.0-or-later	exclude-mister-framework
sys/video_mixer.sv	e53e1c06e53e3ff953b02398486b50202e8b8129	GPL-version-unspecified-reference	exclude-mister-framework
sys/yc_out.sv	984fc379afed7c038061be50ae95302e250fab18	GPL-2.0-or-later	exclude-mister-framework
